Participant_Num,Rule,Rule Length,Rule Support %,Rule Accuracy %,Rule Lift,Leaf Records,Leaf Misclassified,Target Class,Target Class Number,Rule Recall %,Instances,Number of Rules,Model Training Accuracy,Model Stratified Accuracy,Model Scheme,Weka_Experiment_Name,Model Algorithm,SCORE
1,GSR_MSDMin_RESP < 14.5: NoStress(10.0/0.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,6,97%,55%,['-U -M 2.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.63
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min < -7.5 AND Ratio_R_HR_Min < -12.0 AND GSR_MSDMin_TEMP < 0.5: Stress(17.0/0.0),4,42%,100%,2.0,17.0,0,Stress,20,85%,40,6,97%,55%,['-U -M 2.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,4.25
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min < -7.5 AND Ratio_R_HR_Min < -12.0 AND GSR_MSDMin_TEMP >= 0.5: NoStress(2.0/1.0),4,5%,50%,1.0,2.0,1,NoStress,20,5%,40,6,97%,55%,['-U -M 2.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,1.86
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min < -7.5 AND Ratio_R_HR_Min >= -12.0 AND RESP_Mod < 18.5: NoStress(4.0/0.0),4,10%,100%,2.0,4.0,0,NoStress,20,20%,40,6,97%,55%,['-U -M 2.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.11
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min < -7.5 AND Ratio_R_HR_Min >= -12.0 AND RESP_Mod >= 18.5: Stress(2.0/0.0),4,5%,100%,2.0,2.0,0,Stress,20,10%,40,6,97%,55%,['-U -M 2.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,2.93
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min >= -7.5: NoStress(4.0/0.0),2,10%,100%,2.0,4.0,0,NoStress,20,20%,40,6,97%,55%,['-U -M 2.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.11
1,GSR_MSDMin_RESP < 14.5: NoStress(10.0/0.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,4,90%,50%,['-U -M 4.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.58
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min < -7.5 AND Ratio_R_HR_Min < -12.0: Stress(18.0/2.0),3,45%,88%,1.8,18.0,2,Stress,20,80%,40,4,90%,50%,['-U -M 4.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.89
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min < -7.5 AND Ratio_R_HR_Min >= -12.0: NoStress(4.0/2.0),3,10%,50%,1.0,4.0,2,NoStress,20,10%,40,4,90%,50%,['-U -M 4.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,1.9
1,GSR_MSDMin_RESP >= 14.5 AND Ratio_HR_G_Min >= -7.5: NoStress(4.0/0.0),2,10%,100%,2.0,4.0,0,NoStress,20,20%,40,4,90%,50%,['-U -M 4.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.05
1,GSR_MSDMin_RESP < 14.5: NoStress(10.0/0.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,2,75%,55%,['-U -M 6.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.52
1,GSR_MSDMin_RESP >= 14.5: Stress(20.0/10.0),1,50%,50%,1.0,20.0,10,Stress,20,50%,40,2,75%,55%,['-U -M 6.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,2.65
1,GSR_MSDMin_RESP < 14.5: NoStress(10.0/0.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,2,75%,60%,['-U -M 8.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.55
1,GSR_MSDMin_RESP >= 14.5: Stress(20.0/10.0),1,50%,50%,1.0,20.0,10,Stress,20,50%,40,2,75%,60%,['-U -M 8.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,2.67
1,GSR_MSDMin_RESP < 14.5: NoStress(10.0/0.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,2,75%,57%,['-U -M 10.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,3.54
1,GSR_MSDMin_RESP >= 14.5: Stress(20.0/10.0),1,50%,50%,1.0,20.0,10,Stress,20,50%,40,2,75%,57%,['-U -M 10.0 '],Exp1_Combined_Attributes_2_Class_Stress,CART,2.66
1,RESP_Mean < 17.5 AND TEMP_Min < -1.5: NoStress(14.0/1.0),2,35%,92%,1.8,14.0,1,NoStress,20,65%,40,5,95%,72%,['-U -M 2.0 '],Exp2_Desc_AttributesOnly_2_Class_Stress,CART,3.83
1,RESP_Mean < 17.5 AND TEMP_Min >= -1.5 AND HR_Mean < 62.0: Stress(4.0/0.0),3,10%,100%,2.0,4.0,0,Stress,20,20%,40,5,95%,72%,['-U -M 2.0 '],Exp2_Desc_AttributesOnly_2_Class_Stress,CART,3.18
1,RESP_Mean < 17.5 AND TEMP_Min >= -1.5 AND HR_Mean >= 62.0: NoStress(2.0/0.0),3,5%,100%,2.0,2.0,0,NoStress,20,10%,40,5,95%,72%,['-U -M 2.0 '],Exp2_Desc_AttributesOnly_2_Class_Stress,CART,3.01
1,RESP_Mean >= 17.5 AND HR_SD < 3.5: Stress(15.0/1.0),2,37%,93%,1.9,15.0,1,Stress,20,70%,40,5,95%,72%,['-U -M 2.0 '],Exp2_Desc_AttributesOnly_2_Class_Stress,CART,3.93
1,RESP_Mean >= 17.5 AND HR_SD >= 3.5: NoStress(3.0/0.0),2,7%,100%,2.0,3.0,0,NoStress,20,15%,40,5,95%,72%,['-U -M 2.0 '],Exp2_Desc_AttributesOnly_2_Class_Stress,CART,3.1
1,RESP_Mean < 17.5 AND TEMP_Min < -1.5: NoStress(14.0/1.0),2,35%,92%,1.8,14.0,1,NoStress,20,65%,40,3,82%,77%,['-U -M 4.0 '],Exp2_Desc_AttributesOnly_2_Class_Stress,CART,3.79
