Participant_Num,Rule,Rule Length,Rule Support %,Rule Accuracy %,Rule Lift,Leaf Records,Leaf Misclassified,Target Class,Target Class Number,Rule Recall %,Instances,Number of Rules,Model Training Accuracy,Model Stratified Accuracy,Model Scheme,Weka_Experiment_Name,Model Algorithm,SCORE
1,GSR_MSDMin_RESP <= 14: NoStress (10.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,6,100%,52%,['-M 2 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.63
1,GSR_MSDMin_RESP > 14 AND HR_Mean_GlobalRef_ZScore <= -0 AND Ratio_HR_G_Min <= -8 AND GSR_MSDMax_HR <= 62: Stress (16.0),4,40%,100%,2.0,16.0,0,Stress,20,80%,40,6,100%,52%,['-M 2 '],Exp1_Combined_Attributes_2_Class_Stress,J48,4.16
1,GSR_MSDMin_RESP > 14 AND HR_Mean_GlobalRef_ZScore <= -0 AND Ratio_HR_G_Min <= -8 AND GSR_MSDMax_HR > 62 AND Ratio_T_G_Max <= 47: Stress (4.0),5,10%,100%,2.0,4.0,0,Stress,20,20%,40,6,100%,52%,['-M 2 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.11
1,GSR_MSDMin_RESP > 14 AND HR_Mean_GlobalRef_ZScore <= -0 AND Ratio_HR_G_Min <= -8 AND GSR_MSDMax_HR > 62 AND Ratio_T_G_Max > 47: NoStress (4.0),5,10%,100%,2.0,4.0,0,NoStress,20,20%,40,6,100%,52%,['-M 2 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.11
1,GSR_MSDMin_RESP > 14 AND HR_Mean_GlobalRef_ZScore <= -0 AND Ratio_HR_G_Min > -8: NoStress (4.0),3,10%,100%,2.0,4.0,0,NoStress,20,20%,40,6,100%,52%,['-M 2 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.11
1,GSR_MSDMin_RESP > 14 AND HR_Mean_GlobalRef_ZScore > -0: NoStress (2.0),2,5%,100%,2.0,2.0,0,NoStress,20,10%,40,6,100%,52%,['-M 2 '],Exp1_Combined_Attributes_2_Class_Stress,J48,2.93
1,GSR_MSDMin_RESP <= 14: NoStress (10.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,5,95%,47%,['-M 4 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.58
1,GSR_MSDMin_RESP > 14 AND Ratio_HR_G_Min <= -8 AND RESP_Mod <= 18 AND TEMPMax_RESP <= 17: Stress (8.0/1.0),4,20%,87%,1.7,8.0,1,Stress,20,35%,40,5,95%,47%,['-M 4 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.08
1,GSR_MSDMin_RESP > 14 AND Ratio_HR_G_Min <= -8 AND RESP_Mod <= 18 AND TEMPMax_RESP > 17: NoStress (6.0/1.0),4,15%,83%,1.7,6.0,1,NoStress,20,25%,40,5,95%,47%,['-M 4 '],Exp1_Combined_Attributes_2_Class_Stress,J48,2.82
1,GSR_MSDMin_RESP > 14 AND Ratio_HR_G_Min <= -8 AND RESP_Mod > 18: Stress (12.0),3,30%,100%,2.0,12.0,0,Stress,20,60%,40,5,95%,47%,['-M 4 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.76
1,GSR_MSDMin_RESP > 14 AND Ratio_HR_G_Min > -8: NoStress (4.0),2,10%,100%,2.0,4.0,0,NoStress,20,20%,40,5,95%,47%,['-M 4 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.06
1,GSR_MSDMin_RESP <= 14: NoStress (10.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,4,85%,62%,['-M 6 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.61
1,GSR_MSDMin_RESP > 14 AND HR_MSDMin_RESP <= 18 AND RESP_MSDMax_TEMP <= 0: Stress (15.0/5.0),3,37%,66%,1.3,15.0,5,Stress,20,50%,40,4,85%,62%,['-M 6 '],Exp1_Combined_Attributes_2_Class_Stress,J48,2.99
1,GSR_MSDMin_RESP > 14 AND HR_MSDMin_RESP <= 18 AND RESP_MSDMax_TEMP > 0: NoStress (6.0/1.0),3,15%,83%,1.7,6.0,1,NoStress,20,25%,40,4,85%,62%,['-M 6 '],Exp1_Combined_Attributes_2_Class_Stress,J48,2.84
1,GSR_MSDMin_RESP > 14 AND HR_MSDMin_RESP > 18: Stress (9.0),2,22%,100%,2.0,9.0,0,Stress,20,45%,40,4,85%,62%,['-M 6 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.52
1,GSR_MSDMin_RESP <= 14: NoStress (10.0),1,25%,100%,2.0,10.0,0,NoStress,20,50%,40,3,82%,65%,['-M 8 '],Exp1_Combined_Attributes_2_Class_Stress,J48,3.61
1,GSR_MSDMin_RESP > 14 AND RESP_Mean <= 17: NoStress (13.0/5.0),2,32%,61%,1.2,13.0,5,NoStress,20,40%,40,3,82%,65%,['-M 8 '],Exp1_Combined_Attributes_2_Class_Stress,J48,2.72
