Participant_Num,Rule,Rule Length,Rule Support %,Rule Accuracy %,Rule Lift,Leaf Records,Leaf Misclassified,Target Class,Target Class Number,Rule Recall %,Instances,Number of Rules,Model Training Accuracy,Model Stratified Accuracy,Model Scheme,Weka_Experiment_Name,Model Algorithm,SCORE
1,HR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND TEMP_Min <= -2: NoStress (13.0),3,32%,100%,2.0,13.0,0,NoStress,20,65%,40,5,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.96
1,HR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND TEMP_Min > -2: Stress (5.0/1.0),3,12%,80%,1.6,5.0,1,Stress,20,20%,40,5,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.79
1,HR_Max_GlobalRef = Below AND RESP_Mean > 17: Stress (16.0/1.0),2,40%,93%,1.9,16.0,1,Stress,20,75%,40,5,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,4.01
1,HR_Max_GlobalRef = Above: NoStress (6/1),1,15%,83%,1.7,6.0,1,NoStress,20,25%,40,5,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.94
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,5,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR <= 12: NoStress (10.0),4,25%,100%,2.0,10.0,0,NoStress,20,50%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.7
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR > 12: Stress (2.0),4,5%,100%,2.0,2.0,0,Stress,20,10%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean > 17: Stress (11.0),3,27%,100%,2.0,11.0,0,Stress,20,55%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.79
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Above AND GSR_MSD_Max <= 11: Stress (7.0/1.0),3,17%,85%,1.7,7.0,1,Stress,20,30%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.06
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Above AND GSR_MSD_Max > 11: NoStress (4.0),3,10%,100%,2.0,4.0,0,NoStress,20,20%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.17
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Above AND HR_Mean_GlobalRef = Below: NoStress (2/0),2,5%,100%,2.0,2.0,0,NoStress,20,10%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Above AND HR_Mean_GlobalRef = Above: NoStress (4/1),2,10%,75%,1.5,4.0,1,NoStress,20,15%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.6
1,HR_Max_GlobalRef = Above AND HR_Mean_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR <= 12: NoStress (10.0),4,25%,100%,2.0,10.0,0,NoStress,20,50%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.7
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR > 12: Stress (2.0),4,5%,100%,2.0,2.0,0,Stress,20,10%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean > 17: Stress (11.0),3,27%,100%,2.0,11.0,0,Stress,20,55%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.79
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Above AND GSR_MSD_Max <= 11: Stress (7.0/1.0),3,17%,85%,1.7,7.0,1,Stress,20,30%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.06
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Above AND GSR_MSD_Max > 11: NoStress (4.0),3,10%,100%,2.0,4.0,0,NoStress,20,20%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.17
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Above AND HR_Min_GlobalRef = Below: NoStress (4/1),2,10%,75%,1.5,4.0,1,NoStress,20,15%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.6
1,HR_Max_GlobalRef = Above AND HR_Min_GlobalRef = Above: NoStress (2/0),2,5%,100%,2.0,2.0,0,NoStress,20,10%,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Above AND HR_Min_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,10,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR <= 13: NoStress (10.0),4,25%,100%,2.0,10.0,0,NoStress,20,50%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.7
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR > 13: Stress (2.0),4,5%,100%,2.0,2.0,0,Stress,20,10%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Below AND RESP_Mean > 17: Stress (13.0),3,32%,100%,2.0,13.0,0,Stress,20,65%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.96
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Above AND TEMP_Min <= -2 AND RESP_Mod <= 18: NoStress (5.0),4,12%,100%,2.0,5.0,0,NoStress,20,25%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.26
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Above AND TEMP_Min <= -2 AND RESP_Mod > 18: Stress (2.0),4,5%,100%,2.0,2.0,0,Stress,20,10%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Above AND TEMP_Min > -2: Stress (2.0),3,5%,100%,2.0,2.0,0,Stress,20,10%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.0
1,HR_Max_GlobalRef = Below AND GSR_SD_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Above AND GSR_Mean_GlobalRef = Below: NoStress (3/1),2,7%,66%,1.3,3.0,1,NoStress,20,10%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.33
1,HR_Max_GlobalRef = Above AND GSR_Mean_GlobalRef = Above: NoStress (3/0),2,7%,100%,2.0,3.0,0,NoStress,20,15%,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.09
1,HR_Max_GlobalRef = Above AND GSR_Mean_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,11,95%,70%,['-N 10 -L 2 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND TEMP_Min <= -2: NoStress (13.0),3,32%,100%,2.0,13.0,0,NoStress,20,65%,40,5,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.99
1,HR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND TEMP_Min > -2: Stress (5.0/1.0),3,12%,80%,1.6,5.0,1,Stress,20,20%,40,5,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.81
1,HR_Max_GlobalRef = Below AND RESP_Mean > 17: Stress (16.0/1.0),2,40%,93%,1.9,16.0,1,Stress,20,75%,40,5,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,4.04
1,HR_Max_GlobalRef = Above: NoStress (6/1),1,15%,83%,1.7,6.0,1,NoStress,20,25%,40,5,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.96
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,5,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean <= 17: NoStress (12.0/2.0),3,30%,83%,1.7,12.0,2,NoStress,20,50%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.41
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean > 17: Stress (11.0),3,27%,100%,2.0,11.0,0,Stress,20,55%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.81
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Above AND GSR_MSD_Max <= 11: Stress (7.0/1.0),3,17%,85%,1.7,7.0,1,Stress,20,30%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.08
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Above AND GSR_MSD_Max > 11: NoStress (4.0),3,10%,100%,2.0,4.0,0,NoStress,20,20%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.2
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Above: NoStress (6/1),1,15%,83%,1.7,6.0,1,NoStress,20,25%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.96
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean <= 17: NoStress (12.0/2.0),3,30%,83%,1.7,12.0,2,NoStress,20,50%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.41
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean > 17: Stress (11.0),3,27%,100%,2.0,11.0,0,Stress,20,55%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.81
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Above AND GSR_MSD_Max <= 11: Stress (7.0/1.0),3,17%,85%,1.7,7.0,1,Stress,20,30%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.08
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Above AND GSR_MSD_Max > 11: NoStress (4.0),3,10%,100%,2.0,4.0,0,NoStress,20,20%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.2
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Above: NoStress (6/1),1,15%,83%,1.7,6.0,1,NoStress,20,25%,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.96
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,7,90%,80%,['-N 10 -L 4 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR <= 13: NoStress (11.0),3,27%,100%,2.0,11.0,0,NoStress,20,55%,40,5,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.71
1,HR_Max_GlobalRef = Below AND RESP_Mean <= 17 AND HRMax_GSR > 13: Stress (7.0/3.0),3,17%,57%,1.1,7.0,3,Stress,20,20%,40,5,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.27
1,HR_Max_GlobalRef = Below AND RESP_Mean > 17: Stress (16.0/1.0),2,40%,93%,1.9,16.0,1,Stress,20,75%,40,5,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.94
1,HR_Max_GlobalRef = Above: NoStress (6/1),1,15%,83%,1.7,6.0,1,NoStress,20,25%,40,5,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.86
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,5,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean <= 17: NoStress (12.0/2.0),3,30%,83%,1.7,12.0,2,NoStress,20,50%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.31
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Below AND RESP_Mean > 17: Stress (11.0),3,27%,100%,2.0,11.0,0,Stress,20,55%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.71
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Above: Stress (11/5),2,27%,54%,1.1,11.0,5,Stress,20,30%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.42
1,HR_Max_GlobalRef = Below AND GSR_Mean_GlobalRef = Equal: Stress (0/0),2,0,0,0,0.0,0,Stress,20,0,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Above: NoStress (6/1),1,15%,83%,1.7,6.0,1,NoStress,20,25%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.86
1,HR_Max_GlobalRef = Equal: Stress (0/0),1,0,0,0,0.0,0,Stress,20,0,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,0
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean <= 17: NoStress (12.0/2.0),3,30%,83%,1.7,12.0,2,NoStress,20,50%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.31
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Below AND RESP_Mean > 17: Stress (11.0),3,27%,100%,2.0,11.0,0,Stress,20,55%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,3.71
1,HR_Max_GlobalRef = Below AND GSR_Max_GlobalRef = Above: Stress (11/5),2,27%,54%,1.1,11.0,5,Stress,20,30%,40,6,80%,70%,['-N 10 -L 6 '],Exp1_Combined_Attributes_2_Class_Stress,SySFor,2.42
